SimTime	Autoindex	Register	Registerwert
50	8	CANvelocity	118.924
50	8	CANlaneid	0
50	9	CANvelocity	117.787
50	9	CANlaneid	0
50	10	CANvelocity	117.741
50	10	CANlaneid	0
50	11	CANvelocity	107.668
50	11	CANlaneid	0
50	12	CANvelocity	94.1974
50	12	CANlaneid	0
50	13	CANvelocity	78.5756
50	13	CANlaneid	0
50	14	CANvelocity	64.2315
50	14	CANlaneid	0
50	15	CANvelocity	47.6484
50	15	CANlaneid	0
50	16	CANvelocity	32.8644
50	16	CANlaneid	0
50	17	CANvelocity	11.959
50	17	CANlaneid	0
51	0	CANvelocity	118.053
51	0	CANlaneid	0
51	1	CANvelocity	119.493
51	1	CANlaneid	0
51	2	CANvelocity	117.555
51	2	CANlaneid	0
51	3	CANvelocity	118.292
51	3	CANlaneid	0
51	4	CANvelocity	118.3
51	4	CANlaneid	0
51	5	CANvelocity	118.775
51	5	CANlaneid	0
51	6	CANvelocity	118.096
51	6	CANlaneid	0
51	7	CANvelocity	119.82
51	7	CANlaneid	0
51	8	CANvelocity	118.507
51	8	CANlaneid	0
51	9	CANvelocity	118.777
51	9	CANlaneid	0
51	10	CANvelocity	119.236
51	10	CANlaneid	0
51	11	CANvelocity	112.001
51	11	CANlaneid	0
